109	4.748	6.637	25	2.469
110	6.907	2.103	20	1.641
111	5.162	3.644	26	2.127
112	5.041	5.964	28	2.404
113	5.614	6.599	38	3.12
114	6.25	6.301	9	1.343
115	6.954	6.43	29	2.065
116	5.922	4.685	26	2.312
117	6.83	3.419	13	2
118	6.004	4.942	12	1.861
119	4.732	4.914	31	3.269
120	5.852	5.954	39	3.089
121	5.535	6.369	7	1.162
122	6.239	2.924	23	2.201
123	6.802	5.004	39	3.174
124	4.834	4.072	25	2.157
125	6.51	6.494	20	1.583
126	4.691	6.777	16	1.982
127	5.699	6.763	9	1.12
128	6.311	6.058	13	1.754
129	6.23	5.082	28	2.055
130	5.455	4.882	26	2.035
131	6.7	6.201	28	2.381
132	6.714	5.423	17	1.53
133	7.007	3.598	39	3.268
134	6.488	4.221	39	3.078
135	5.714	4.027	25	2.178
136	5.766	3.572	35	3.357
137	6.357	4.121	36	3.423
138	7.3	5.324	20	1.778
139	5.222	4.104	13	1.518
140	5.61	5.907	16	1.578
141	7.048	6.423	16	1.892
142	6.466	3.343	22	2.284
143	5.366	6.185	7	1.118
144	6.104	5.929	17	1.855
145	6.224	5.593	26	2.291
146	6.081	5.776	22	2.369
147	6.215	4.293	26	2.255
148	5.608	2.361	35	3.283
149	5.703	2.417	42	3.034
150	7.324	2.913	19	1.994
151	6.866	6.282	17	1.795
152	6.535	4.798	25	2.336
153	5.121	4.299	29	2.036
154	5.615	3.124	13	1.872
155	6.278	3.548	7	1.423
156	7.146	6.451	15	1.853
157	5.379	2.569	16	1.792
158	5.207	4.458	23	2.012
159	6.643	3.042	31	3.016
160	5.355	6.169	17	1.827
161	5.804	5.027	44	3.291
162	5.316	2.526	39	3.313
163	6.072	4.349	31	3.29
164	5.099	5.052	19	1.657
165	6.148	5.209	13	1.934
166	5.077	5.682	32	3.267
167	5.285	4.554	34	3.023
168	6.795	2.139	9	1.366
169	5.559	6.272	36	3.381
170	6.954	4.647	41	3.469
171	7.013	6.646	31	3.077
172	6.905	6.181	34	3.1
173	4.955	5.195	39	3.088
174	6.575	4.996	42	3.222
175	6.833	2.198	20	1.896
176	6.754	5.586	9	1.233
177	5.386	3.279	19	1.851
178	6.385	3.708	13	1.829
179	6.825	4.198	20	1.541
180	6.788	6.844	26	2.194
181	5.495	2.725	36	3.264
182	7.106	4.662	42	3.132
183	7.302	5.124	17	1.781
184	7.354	4.684	42	3.293
185	6.101	2.688	13	1.846
186	5.643	2.157	23	2.315
187	5.12	5.654	13	1.819
188	4.771	3.811	16	1.953
189	7.001	5.396	7	1.041
190	6.542	2.947	16	1.89
191	5.874	4.856	22	2.133
192	7.343	3.021	25	2.33
193	5.354	3.304	17	1.675
194	6.7	4.251	7	1.15
195	4.843	4.501	39	3.274
196	5.258	5.911	16	1.641
197	5.487	2.164	15	1.927
198	6.28	6.131	7	1.418
199	5.711	5.674	16	1.697
200	6.06	4.659	17	1.514
